country_name,year,happiness_index,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Croatia,2013,5.885462760925293,10.090785026550293,0.7512620687484741,67.66000366210938,0.626699686050415,-0.211284339427948,0.936059832572937,0.5540811419487,0.2847299575805664
Croatia,2014,5.380692481994629,10.090556144714355,0.6456977725028992,67.77999877929688,0.5188780426979065,0.12492571026086807,0.9177351593971252,0.544727087020874,0.28589510917663574
Croatia,2015,5.205438137054443,10.123706817626953,0.7683634161949158,67.9000015258789,0.6935230493545532,-0.10370200127363205,0.8485455513000488,0.570057213306427,0.29401934146881104
Croatia,2016,5.41687536239624,10.165665626525879,0.798332154750824,68.07499694824219,0.671970546245575,-0.07190065085887909,0.8840597867965698,0.5689613819122314,0.3365412652492523
Croatia,2017,5.343165874481201,10.211227416992188,0.7703096866607666,68.25,0.7158222794532776,-0.11183539777994156,0.8915597200393677,0.6182564496994019,0.31648823618888855
Croatia,2018,5.536271095275879,10.247783660888672,0.9098068475723267,68.42500305175781,0.6908556222915649,-0.15832628309726715,0.9254083037376404,0.5123899579048157,0.2903759777545929
Croatia,2019,5.625743865966797,10.28696346282959,0.93598872423172,68.5999984741211,0.7393006086349487,-0.14535610377788544,0.9316146373748779,0.5038063526153564,0.26915451884269714
Croatia,2020,6.507992267608643,10.20158576965332,0.9229134917259216,68.7750015258789,0.8366576433181763,-0.07138796895742416,0.9609392881393433,0.6814067959785461,0.28560975193977356
Croatia,2021,6.286790370941162,10.367008209228516,0.9177415370941162,68.94999694824219,0.8418378829956055,0.0009323216509073973,0.9336503744125366,0.6401486992835999,0.27419716119766235
Republic of Cyprus,2012,6.180507183074951,10.484100341796875,0.7671771049499512,71.12000274658203,0.7246295809745789,0.09176801145076752,0.87069171667099,0.6870852708816528,0.3686329126358032
Republic of Cyprus,2013,5.438952445983887,10.418280601501465,0.744032084941864,71.27999877929688,0.6562679409980774,0.09568224847316742,0.8673104643821716,0.6568310856819153,0.42025870084762573
Republic of Cyprus,2014,5.627123832702637,10.41136646270752,0.7701759934425354,71.44000244140625,0.7150656580924988,0.0535113662481308,0.8682375550270081,0.661480188369751,0.3971729874610901
Republic of Cyprus,2015,5.43916130065918,10.450677871704102,0.7695561051368713,71.5999984741211,0.6280348300933838,0.10745827853679657,0.8927951455116272,0.6599417328834534,0.38310641050338745
Republic of Cyprus,2016,5.794618606567383,10.509756088256836,0.7864384651184082,71.80000305175781,0.7562209963798523,-0.03647814691066742,0.8976395130157471,0.6310487985610962,0.3363446891307831
Republic of Cyprus,2017,6.062051296234131,10.556205749511719,0.8186710476875305,72.0,0.8116706609725952,0.036032535135746,0.8512064218521118,0.6697354316711426,0.30051660537719727
